keys;en;it
test_1;Paolino: aa Hello;Paolino: aa Ciao, amico!
aa;POOP;CACCA
test_2;Carlo: Goodnight;Carlo: Buonanotte
test_3;Paolino: Goodbye;Paolino: Arrivederci

pickup_item_generic;Item added to inventory!;Oggetto aggiunto all'inventario!




NO_ITEM_SELECTED_DESC_STRING;Please select an item to view its description;Seleziona un oggetto per visualizzarne la descrizione
set_of_keys;Set of keys;Mazzo di chiavi
polipetto;Octypus;Polipetto
plutonio_radioattivo;Radioactive Plutonium;Plutonio Radioattivo

set_of_keys_description;A very amusing set of keys.\nThey range from 1 to 8, and each have a different color assigned.;Un bellissimo mazzo di chiavi.\nVanno dal numero 1 al numero 8, ed ognuna ha un colore diverso.
plutonio_radioattivo_description;A very radioactive chunk of plutonium.;Un pezzo di plutonio estremamente radioattivo.
polipetto_description;A strange octopus that was given to you by the almight Watermelon.;Uno strano polipetto che ti è stato donato dall'unica e sola Anguria.
spada_laser_description;An extremely powerful and destructive laser sword.;Una spada laser estremamente potente e distruttiva.



pickup_set_of_keys_1;Dominik: Wow, a set of keys! Why was it even there...;Dominik: Wow, un mazzo di chiavi! Ma che ci faceva lì....
pickup_set_of_keys_2;Dominik: Well, I guess I can unlock some doors now...;Dominik: Bhe, immagino che ci potrò aprire qualche porta...

door_locked_basic_dialogue_1;Dominik: This door is locked...;Dominik: È bloccata...

first_open_minigame_combination_1;Dominik: What is this...?;Dominik: Ma che roba è...?
first_open_minigame_combination_2;Dominik: Am i supposed to put a specific sequence of three keys to open this door?!;Dominik: Ma non dovrò mica inserire tre chiavi in un ordine specifico per aprirla, no?!
first_minigame_combination_door_fail_1;Dominik: Who even uses a combination of three keys to open a door?!;Dominik: Ma a chi è venuto in mente di usare una combinazione di tre chiavi per aprire una porta?!
first_minigame_combination_door_fail_2;Dominik: Well, I'll take a look around, surely there will be some hints around my room to help me remember...;Dominik: Bah, darò un'occhiata in giro per la stanza, immagino ci sia qualcosa che possa aiutarmi a ricordare...
first_minigame_combination_short_win_1;Dominik: Wow, I nailed it on the first try! Now I understand why I have a Pi poster in my room...;Dominik:Wow, ci sono riuscito al primo tentativo, ora capisco perchè ho un poster del pi greco in camera... 
dialogue_with_pi_poster_1;Dominik: Why do I even have a pi poster? I hate math...;Dominik: Ma perché ho un poster del pi greco? Io odio la matematica...
