keys;en;it
PlayButton;Play;Gioca
ResumeButton;Resume;Riprendi
LogOutButton;Log Out;Disconnettiti
ExitButton;Exit;Esci
ExitPauseMenuButton;Exit Pause Menu;Esci dal menu di pausa
MainMenuButton;Main Menu;Menu principale
SignIn;Sign In;Accedi
SignUp;Sign Up;Iscriviti
ReportMessage;Report Message;Messaggio di segnalazione
ResetPassword;Reset Password;Reimposta password
PlayOffline;Play Offline;Gioca offline
CreditsButton;Credits;Riconoscimenti
GameTitle;enigma-game;enigma-gioco
GameSubtitle;Absolutely not a placeholder title;Assolutamente non un titolo provvisorio
